ID;Name;IMDB_Rating;Premiere;Finale ;Runtime_of_Episodes;Overview
1035;Major Crimes;7.7;2012;2018;43;The Closer (2005) spin-off series, which follows Captain Raydor of the Los Angeles Police Department.
1036;Goosebumps;7.7;1995;1998;22;A series of scary anthology stories based on the children's books by R.L. Stine. Series one was hosted by R.L. Stine.
1037;The Vicar of Dibley;8;1994;2020;60;A boisterous female minister comes to serve in an eccentricly conservative small town's church.
1038;Evil;7.6;2019;null;42;A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.
1039;Clerks;7.4;2000;2001;22;The continuing adventures of clerks Dante and Randal, who try to make the best of their menial labor, with no help from Jay and Silent Bob.
1040;We Bare Bears;7.9;2014;2019;30;Three bear brothers do whatever they can to be a part of human society by doing what everyone around them does.
1041;Tiny Toon Adventures;7.5;1990;1995;21;The wacky adventures of the new young hip generation of Warner Brothers Looney Tunes characters, most of them descendants of the original classic toon cast.
1042;The Incredible Hulk;7;1977;1982;60;A fugitive scientist has the curse of becoming a powerful green monster under extreme emotional stress.
1043;The Glades;7.5;2010;2013;60;A former Chicago cop moves to a small Florida town and joins the state police.
1044;Outsourced;7.5;2010;2011;30;A manager is sent to India to oversee a staff of customer service representatives.
1045;The Midnight Gospel;8.3;2020;null;23;Clancy, a spacecaster with a malfunctioning multiverse simulator, leaves the comfort of his home to interview beings living in dying worlds.
1046;Mushishi;8.5;2005;2006;25;"Ginko is an expert travelling around to investigate a primeval life-form, the ""Mushi,"" and helping people with Mushi-related supernatural problems."
1047;Angel Beats!;7.7;2010;null;25;Rebellious teens fight in armed combat against one dispassionate girl's supernatural powers in an afterlife high school.
1048;NYPD Blue;7.6;1993;2005;45;Detectives from NYPD's 15th Precinct investigate homicides within their precinct.
1049;The Mask;7;1995;1997;30;The further adventures of Stanley Ipkiss (Rob Paulsen) and his magic reality defying mask.
1050;Marianne;7.5;2019;null;50;When a famous horror writer goes back to her hometown, she finds out that the evil spirit that plagues her dreams is also there in real life.
1051;Becker;7.2;1998;2004;30;Dr. John Becker goes through his daily routine of being a doctor, stopping at his favorite diner, and other various situations, all the while hating life and everything around him.
1052;Emerald City;7.2;2016;2017;60;A modern reimagining of the stories that led to 'The Wizard of Oz'.
1053;Bottom;8.2;1991;1995;30;Two perpetually bored and broke flatmates waste their days in a futile struggle to get laid, earn cash, and not kill one another.
1054;Suburra - La serie;7.9;2017;2020;50;In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.
1055;Invasion;7.5;2005;2006;60;In the aftermath of a hurricane, a Florida Park Ranger and his family deal with strange occurrences.
1056;Selfie;7.2;2014;null;22;After being the subject of an embarrassing viral video, a self-involved 20-something enlists the help of a marketing expert to revamp her image in the real world.
1057;Sseulsseulhago Chalranhashin: Dokkaebi;8.6;2016;2017;60;In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.
1058;Chowder;7.3;2007;2010;11;In Marzipan City, the young, excitable food-loving Chowder is the apprentice of Mung Daal, a very old chef who runs a catering company with his wife, Truffles and assistant, Shnitzel.
1059;Breathe: Into the Shadows;7.6;2020;null;46;"""A father's love can save a life... or take one,"" sets the tone for a dark and gritty series."
1060;Inside Amy Schumer;6;2013;2016;22;Amy Schumer switches from sketches, doing stand up, to interviewing people on the street and people of interest usually following a certain theme.
1061;Nightflyers;5.9;2018;null;60;A crew of scientists embarks on a mission aboard a ship called the Nightflyer to investigate a mysterious alien signal, but they soon begin to question if there is already something on the ship with them.
1062;The New Adventures of Old Christine;7.1;2006;2010;22;A divorced mom tries to keep pace with everyone around her.
1063;Jeeves and Wooster;8.4;1990;1993;55;Bertram Wooster, a well-intentioned, wealthy layabout, has a habit of getting himself into trouble and it's up to his brilliant valet, Jeeves, to get him out.
1064;Sailor Moon;7.6;1995;2000;24;The magical action-adventures of a teenage girl who learns of her destiny as the legendary warrior Sailor Moon and must band together with the other Sailor Scouts to defend the Earth and Galaxy.
1065;Ask-i Memnu;7.4;2008;2010;90;Having lost his wife eleven years ago, Adnan devoted all his attention to his daughter Nihal and his son BÃ¼lent. Adnan, who lives in one of the most prominent mansions along the Bosporus in...                See full summaryÂ Â»
1066;Second Chance;7.5;2016;null;42;A billionaire bio-engineer brings a dead police officer back to life.
1067;Hello Ladies;7.4;2013;2014;29;A gawky Englishman comes to Los Angeles to find the woman of his dreams.
1068;Taxi;7.6;1978;1983;30;The staff of a New York City taxicab company go about their job while they dream of greater things.
1069;Homicide: Life on the Street;8.5;1993;1999;60;Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.
1070;The Dukes of Hazzard;7.1;1979;1985;60;The adventures of the fast-drivin', rubber-burnin' Duke boys of Hazzard County.
1071;The Voice;6.5;2011;null;60;Four famous musicians search for the best voices in America and will mentor these singers to become artists. America will decide which singer will be worthy of the grand prize.
1072;Shake It Up;4.9;2010;2013;30;Two Chicago teens attempt to realize their dream of becoming professional dancers by landing spots on a popular local show.
1073;Degrassi: The Next Generation;7.3;2001;2015;30;The lives of the kids at Degrassi Community School dealing with the serious and sometimes taboo issues that plague teenagers.
1074;Yu yu hakusho;8.5;1992;1995;24;One day, 14-year-old Yusuke Urameshi suddenly finds himself dead, having died pushing a child out of the way of oncoming traffic. Since he has such a bad personality, even the Spirit World ...                See full summaryÂ Â»
1075;Who's the Boss?;6.5;1984;1992;30;Tony Micelli, a retired baseball player, becomes the housekeeper of Angela Bower, an advertising executive in New York. Together they raise their kids, Samantha Micelli and Jonathan Bower, with help from Mona Robinson, Angela's man-crazy mother.
1076;Patriot;8.3;2015;2018;58;Follows the complicated life of intelligence officer John Tavner, whose latest assignment - to prevent Iran from going nuclear - requires him to forgo all safety nets and assume a perilous non-official cover.
1077;The Marvelous Misadventures of Flapjack;7.8;2008;2010;11;The comical seafaring adventures of a young, enthusiastic boy, his pirate captain mentor, and the talking whale that raised him from birth.
1078;The Returned;7.1;2015;null;42;A small town's residents are stunned when recently deceased locals begin returning from the dead. What should be a miracle soon becomes a nightmare.
1079;Dirty Sexy Money;7.2;2007;2009;45;A lawyer is forced to take care of one of New York City's wealthiest families.
1080;Penn & Teller: Bullshit!;8.1;2003;2010;30;The comedy illusionist duo explore various topics and debunk what they consider misconceptions about them.
1081;Quarry;8.1;2016;null;60;Quarry, a disillusioned Vietnam War vet, returns home to Memphis in 1972 only to find rejection and scrutiny at every step. A mysterious man known only as The Broker gives him an offer he can't refuse - to work for him as a hitman.
1082;Slasher;6.7;2016;null;60;An anthology series featuring rampaging serial killers leaving carnage in their wake as their next victims fight to stay alive.
1083;Why Women Kill;8.4;2019;null;51;An anthology series that follows three women in different decades all living in the same house, as they deal with infidelity and betrayals in their marriages.
1084;Once Upon a Time in Wonderland;7;2013;2014;42;In Victorian England, the young and beautiful Alice tells a tale of a strange new land that exists on the other side of a rabbit hole.
1085;Masters of Horror;7.5;2005;2007;60;"Anchor Bay has amassed some of the greatest horror film writers and directors to bring to you the anthology series, ""Masters of Horror"". For the first time, the foremost names in the horror...                See full summaryÂ Â»"
